competition_key,player_id,player_name,team_id,team_name,crest_url,goals,penalties,own_goals,penalty_shootout_scored,penalty_shootout_missed
22620322-21-22682900,65410,"EXPOSITO LOPEZ, IORITZ",15146,"SESTAO RIVER ""A""",https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1384_grande.png,9,1,0,0,0
22620312-21-23498920,313988,"MENIKA RODRÍGUEZ, JULEN",1771147,LEIOA,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1034_grande.png,9,0,0,0,0
22320181-21-22395200,1915337,"CIPRES IBAÑEZ, DAVID",368,DELICIAS-C.D.,https://www.futbolaragon.com/pnfg/pimg/Equipos/00100_0000046054_CDDeliciaslastone.JPG,9,0,0,0,0
22320195-21-22320196,563961,"RIAU PUEYO, ALEX",956,PEÑAS OSCENSES-C.D. Gaypu,https://www.futbolaragon.com/pnfg/pimg/Clubes/00100_0000080862_penas_oscenses_2.jpg,9,1,0,0,0
22620317-21-22682894,71387,"CASTAÑO ZAPATA, IKER",13422,SODUPE,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1045_grande.png,9,1,0,0,0
29509446-21-33327,1595980053,"HOLGUIN VASCO, PETER ALEXANDER",1274377311,C.D. Castellón 'A',https://appffcv.filesnovanet.es/pnfg/pimg/Clubes/00100_0074501622_CD_Castell_n.png,9,0,0,0,0
22620058-21-23099489,8703,"OTAMENDI DE PABLO, ENEKO",7647,OSTADAR S.K.T.,https://www.gipuzkoafutbola.eus/pnfg/pimg/MigracionPV/escudosFGF/2412.jpg,9,0,0,0,0
22320181-21-22395200,1633654,"MANERO MANTECON, CRISTIAN",178,MONTECARLO-U.D.,https://www.futbolaragon.com/pnfg/pimg/Equipos/00100_0000041121_ESCUDITO2.jpg,9,0,0,0,0
22320195-21-22320196,563947,"RIVERA FERRER, NACHO",6057101,FRAGA-U.D.,https://www.futbolaragon.com/pnfg/pimg/Clubes/00100_0000065943_UD_Fraga2.png,9,1,0,0,0
22227461-21-22229338,1024499,"HERREROS ROMERO DEL HOMBREBUENO, JORGE",124924,C.D. MANCHEGO CIUDAD REAL,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000174407_Escudo_CDManchegoCR__1__page_0001.jpg,9,3,0,0,0
22536409-21-22536410,366237,"RODRIGUEZ MONGELOS, GAEL PAU",101772,"COLLERENSE ""A""",https://www.ffib.es/Fed/pimg/Clubes/00100_0000107089_ESCUDO_COLLERENSE_NUEVO.jpg,9,0,0,0,0
22620058-21-23099487,2978,"GARCIA LLANOS, ADRIEN",5695,REAL UNION CLUB SAD,https://www.gipuzkoafutbola.eus/pnfg/pimg/Equipos/00100_0010134463_Real_Uni_n.png,9,0,0,0,0
22620317-21-22682894,71910,"LEON SAGARNA, ENETZ",9911,"AURRERA DE ONDARROA ""A""",https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1609_grande.png,9,1,0,0,0
23289323-21-23289330,25054095,"PÁRRAGA CABALLERO, JUAN",209542,Murcia Promises Club de Fútbol,https://marcadores.rfef.es/pnfg/pimg/Clubes/00100_0078998146_Promises_02.png,9,1,0,0,0
22620317-21-22682894,72079,"LARRAURI ORTIZ DE ZARATE, BITTOR",13301,INDAUTXU,https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1037_grande.png,9,0,0,0,0
22619991-21-22619992,300840,"FLORIAN SAUCA, JOALI DAVID",4539,"OLARIZU, C.D. ""A""",https://www.euskadifutbol.eus/pnfg/pimg/MigracionPV/escudosFAF/26.jpg,9,2,0,0,0
23289298-21-23289300,1513857,"PECIÑA GORORDO, ANDER",23289720,CD Basconia,https://marcadores.rfef.es/pnfg/pimg/Clubes/00100_0079008817_Escudo_Basconia.JPG,9,1,0,0,0
22536409-21-22536410,3833448,"CALCAGNO GIL, BRUNO ALBERTO",101499,"R.C.D. MALLORCA SAD ""B""",https://www.ffib.es/Fed/pimg/Clubes/00100_0000306448_RCDMALLORCA_ESCUDO.png,9,0,0,0,0
22320195-21-22320196,23083086,"SANCHEZ OLIVARES, IVAN",940,INTERNACIONAL HUESCA,https://www.futbolaragon.com/pnfg/pimg/Clubes/00100_0000310213_IMG_20210713_222418.jpg,9,0,0,0,0
22620267-21-22620268,348663,"SALAZAR CHAURRONDO, UNAI",985,"DEPORTIVO ALAVES, S.A.D. ""B""",https://www.faf-aff.eus/pnfg/pimg/MigracionPV/escudosFAF/100.jpg,9,1,0,0,0
22227461-21-22229338,1047305,"MUELA MANJAVACAS, JAVIER",1127621,E.D.M. MOTA DEL CUERVO,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000104106_30001.jpg,9,6,0,0,0
23289298-21-23289300,23351662,"TELLECHEA PACHECO, IGNACIO",205600,Real Unión Club,https://marcadores.rfef.es/pnfg/pimg/Equipos/escudos_nuevos/205600_50x50.png,9,0,0,0,0
22620267-21-22620268,348615,"CALVO ZULUETA, MARCOS",996,SANTA MARÍA-VITORIA A.D.,https://www.faf-aff.eus/pnfg/pimg/MigracionPV/escudosFAF/101.jpg,9,1,0,0,0
23289298-21-23289300,23494007,"BADIOLA GARITAONAINDIA, AGER",205614,SD Gernika Club,https://marcadores.rfef.es/pnfg/pimg/Equipos/escudos_nuevos/205614_50x50.png,9,0,0,0,0
22227461-21-22229338,1077853,"FERRE ALCAZAR, ANGEL",61495,C.D. CAUDETANO GRUPO ARRFRAN,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000167041_caudete.jpg,9,2,0,0,0
22620267-21-22620268,345839,"AGUIRRE BLANCO, ANDER",29596,"CHAMINADE MARIANISTAS K.E. AD ""A""",https://www.faf-aff.eus/pnfg/pimg/Clubes/00100_0009935659_cf4da01a_89af_4dad_9686_bd7fffeab188.jpg,9,3,0,0,0
23289298-21-23289301,859114,"BARBERA ROMERO, VICTOR",206345,FC Barcelona Atlètic,https://marcadores.rfef.es/pnfg/pimg/Equipos/escudos_nuevos/206343_50x50.png,9,0,0,0,0
23289298-21-23289301,861871,"KEITA, MOUHAMADOU",206412,CD Atlético Baleares,https://marcadores.rfef.es/pnfg/pimg/Equipos/escudos_nuevos/206412_50x50.png,9,2,0,0,0
22620322-21-22682900,74728,"IRAZABAL VADILLO, LINO",12729,"DEUSTO ""B""",https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1005_grande.png,9,4,0,0,0
22536409-21-22536410,22733541,"FRAILE ROSELLO, MARC",101510,"PEÑA DEPORTIVA ""A""",https://www.ffib.es/Fed/pimg/Clubes/00100_0000000981_escudo metacrilato de 10 mm.jpg,9,0,0,0,0
23289298-21-23289301,23296999,"GARCIA GALLEGO, ALEXIS",206323,UE Sant Andreu,https://marcadores.rfef.es/pnfg/pimg/Equipos/escudos_nuevos/206323_50x50.png,9,2,0,0,0
22619991-21-22619992,61297,"RODRIGUEZ RODRIGUEZ, MARCOS",9576,"LEIOA, S.D.",https://www.euskadifutbol.eus/pnfg/pimg/MigracionPV/escudosFVF/1034_grande.png,9,0,0,0,0
22227461-21-22229338,1254690,"RAMIREZ ALEGRE, MARIO",33241,VIÑAXETAR VILLARRUBIA C.F.,https://www.ffcm.es/pnfg/pimg/Clubes/00100_0000161476_00100_1000013342_villarrubia.png,9,0,0,0,0
22177943-21-22177950,7036598,"ALONSO MOTA, IVAN",1268,"C.D. MARINA SPORT ""A""",https://www.rfcf.es/pnfg/pimg/Clubes/00100_0000001154_1068_marina_sport.jpg,9,0,0,0,0
23289298-21-23289301,24162310,"FULLANA GINARD, FRANCESC",23289713,UD Poblense,https://marcadores.rfef.es/pnfg/var/docs/1819/DOCS/20196/6/b45eae1e6bfd4fbf1def468c9c44fa33.jpg,9,6,0,0,0
22619991-21-22619992,10196,"ZUBILLAGA DIEZ, MARTIN",6652,ANTIGUOKO KIROL ELKARTEA,https://www.euskadifutbol.eus/pnfg/pimg/MigracionPV/escudosFGF/2030.jpg,9,0,0,0,0
22177943-21-22177950,6936017,"SOSA PAULE, ENRIQUE",5601172,"C.D.E. ATCO. MINEROS ""A""",https://www.rfcf.es/pnfg/pimg/Clubes/00100_0000714850_Primary__Colour_.png,9,0,0,0,0
22619989-21-22619990,76869,"SARASKETA UNAMUNO, JUAN",9528,"CULTURAL DPVA. DURANGO, S.",https://www.euskadifutbol.eus/pnfg/pimg/MigracionPV/escudosFVF/1020_grande.png,9,1,0,0,0
22536419-21-22536420,813371,"FUNES HEREDIA, MANUEL",130742,"PORTMANY ""A""",https://www.ffib.es/Fed/pimg/Clubes/00100_0000306100_ESCUDO_NUEVO.jpg,9,0,0,0,0
22536419-21-22536420,815098,"PANTOJA CALLE, ASIER",5237858,"U D IBIZA ""A""",https://www.ffib.es/Fed/pimg/Clubes/00100_0000303134_Escudo_UD_Ibiza.png,9,0,0,0,0
22320180-21-22379581,90823462,"PEREZ HERNANDEZ, JORGE",209,CUARTE-C.D.,https://www.futbolaragon.com/pnfg/pimg/Equipos/00100_0000055966_escudo_CON_nombreJPG.jpg,9,1,0,0,0
23289298-21-23289302,23360847,"RODRIGUEZ GALLARDO, DIEGO",208572,Club Atlético Antoniano,https://marcadores.rfef.es/pnfg/pimg/Equipos/escudos_nuevos/208572_50x50.png,9,2,0,0,0
22619989-21-22619990,65486,"ARTETXE BAYON, BEÑAT",4564,ROMO F.C.,https://www.euskadifutbol.eus/pnfg/pimg/MigracionPV/escudosFVF/1124_grande.png,9,0,0,0,0
22536419-21-22536420,831784,"FIOL JAEN, ADRIAN",102304,"ALCUDIA ""A""",https://www.ffib.es/Fed/pimg/Clubes/00100_0000156921_Escudo_UEAlc_dia_66px.jpg,9,0,0,0,0
22620322-21-22682900,78110,"MACEDA CONDE, LANDER",12729,"DEUSTO ""B""",https://www.fvf-bff.eus/pnfg/pimg/MigracionPV/escudosFVF/1005_grande.png,9,1,0,0,0
