match_id,competition_key,match_date,kick_off,match_week,home_team_id,away_team_id,home_score,away_score,home_win,draw,home_loss,stadium_id,referee_id,match_status,home_goal_diff
9985250,22619991-21-22619992,2025-12-20,11:15:00,14,13129,9592,0,4,0,0,1,4260,84,available,-4
9985254,22619991-21-22619992,2025-12-20,11:30:00,14,4539,29730,2,2,0,1,0,70,124,available,0
9985255,22619991-21-22619992,2025-12-20,12:00:00,14,12972,6652,0,2,0,0,1,3159,55,available,-2
9985251,22619991-21-22619992,2025-12-20,12:30:00,14,4558,6576,4,0,1,0,0,4367,67,available,4
9985248,22619991-21-22619992,2025-12-20,13:15:00,14,9576,6791,4,0,1,0,0,4218,127,available,4
9985249,22619991-21-22619992,2025-12-20,15:30:00,14,5842,9501,3,3,0,1,0,1313,128,available,0
9985258,22619991-21-22619992,2026-01-03,11:00:00,15,9501,13129,1,0,1,0,0,3169,8,available,1
9985259,22619991-21-22619992,2026-01-03,11:15:00,15,9592,4558,1,2,0,0,1,4269,113,available,-1
9985265,22619991-21-22619992,2026-01-03,11:15:00,15,6791,5675,0,0,0,1,0,1898,131,available,0
9985260,22619991-21-22619992,2026-01-03,16:00:00,15,6576,6087,0,2,0,0,1,1300,22,available,-2
9985263,22619991-21-22619992,2026-01-03,16:30:00,15,29730,12972,0,4,0,0,1,1294,133,available,-4
9985261,22619991-21-22619992,2026-01-03,17:00:00,15,2686,10341,1,4,0,0,1,68,61,available,-3
9985257,22619991-21-22619992,2026-01-04,12:00:00,15,9576,5842,2,1,1,0,0,4218,135,available,1
9985262,22619991-21-22619992,2026-01-04,12:00:00,15,10422,4539,1,1,0,1,0,4,136,available,0
9985264,22619991-21-22619992,2026-01-04,15:30:00,15,6652,9652,1,2,0,0,1,1285,137,available,-1
9985272,22619991-21-22619992,2026-01-10,10:45:00,16,12972,10422,2,1,1,0,0,3159,14,available,1
9985268,22619991-21-22619992,2026-01-10,11:00:00,16,4558,9501,4,4,0,1,0,1473,139,available,0
9985271,22619991-21-22619992,2026-01-10,11:30:00,16,4539,2686,1,0,1,0,0,70,15,available,1
9985274,22619991-21-22619992,2026-01-10,12:30:00,16,5675,6652,2,0,1,0,0,1964,141,available,2
9985273,22619991-21-22619992,2026-01-10,12:45:00,16,9652,29730,9,0,1,0,0,3169,67,available,9
9985270,22619991-21-22619992,2026-01-10,16:00:00,16,10341,6576,5,2,1,0,0,3155,143,available,3
9985266,22619991-21-22619992,2026-01-10,17:00:00,16,6791,5842,2,1,1,0,0,1898,18,available,1
9985269,22619991-21-22619992,2026-01-11,12:30:00,16,6087,9592,1,1,0,1,0,22715316,145,available,0
9985267,22619991-21-22619992,2026-01-11,17:30:00,16,13129,9576,2,3,0,0,1,4260,47,available,-1
9985276,22619991-21-22619992,2026-01-17,11:00:00,17,9576,4558,0,3,0,0,1,4218,147,available,-3
9985277,22619991-21-22619992,2026-01-17,11:00:00,17,9501,6087,1,4,0,0,1,3169,20,available,-3
9985283,22619991-21-22619992,2026-01-17,12:00:00,17,6652,6791,1,1,0,1,0,1285,149,available,0
9985278,22619991-21-22619992,2026-01-17,13:00:00,17,9592,10341,1,2,0,0,1,4269,70,available,-1
9985280,22619991-21-22619992,2026-01-17,16:00:00,17,2686,12972,1,1,0,1,0,68,27,available,0
9985282,22619991-21-22619992,2026-01-17,16:00:00,17,29730,5675,1,8,0,0,1,1294,152,available,-7
