stadium_id,stadium_name,city,field_type,country_name
191,MALLEN Jose Viela Pirul,Mallén,"Hierba Natural Árbitro: RICO VILA, PABLO",
200,MONZON Isidro Calderón,Monzón,"Hierba Artificial Árbitro: NIVELA GONZALEZ, DAVID",
207,CASETAS San Miguel 1,Zaragoza,"Hierba Natural Árbitro: TAME SAMANIEGO, PABLO",
210,NUEVO RANILLAS-C.M.F.,Madrid,"Hierba Artificial Árbitro: BRUNA GUADAMUR, RAUL",
212,ONTIÑENA El Balsal,Ontiñena,"Árbitro: GHERGHICEANU , FLORIN",
324,PARQUE DEPORTIVO EBRO-1,Zaragoza,"Hierba Artificial Árbitro: LUCIA LOBERA, ENRIQUE",
334,SAN AGUSTIN Carlos Sebastián-COL.,Maspalomas,"Hierba Artificial Árbitro: DE LOS RIOS ALVARIÑO, VICTOR",
354,QUINTO-Gregorio Vidal,Quinto,"Hierba Natural Árbitro: AL-NITEI CIOBANU, SERGIU ANDREI",
357,ROBRES-San Blas,Robres,"Hierba Natural Árbitro: GIMENO OTAL, JOSE ANTONIO",
358,CASPE Los Rosales,Caspe,"Hierba Artificial Árbitro: FORTEA LAGUNA, VICTOR",
361,SADABA Municipal,Sádaba,"Árbitro: HERNANDEZ ANDRES, ESTEBAN",
367,CALAMOCHA Jumaya I,Calamocha,"Hierba Natural Árbitro: GARCIA REYES, IGNACIO",
371,SAN LORENZO F.-José Trallero,Bergara,"Árbitro: GARCIA SANTIAGO, EDGAR",
375,GURREA DE GALLEGO San Nicolás de Bari,Gurrea de Gállego,"Árbitro: TOQUERO MESEGUER, PABLO",
381,MAGALLON Municipal Marbadón,Magallón,"Árbitro: HERNANDEZ ANDRES, ESTEBAN",
385,SANTA ANASTASIA-Fontanaza,Santa Anastasia,"Árbitro: MODREGO GUILLEN, HECTOR",
392,TERUEL-Luis Milla,Teruel,"Hierba Artificial Árbitro: SANCHO ROS, IKER",
401,UTRILLAS La Vega,Utrillas,"Árbitro: CASAUCAU POSADAS, JUAN",
405,VALDERROBRES San Roque,Valderrobres,"Hierba Artificial Árbitro: MOLINARES HERNANDEZ, JUAN JOSE",
408,ZUERA Munic.José Guzmán,Zuera,"Hierba Artificial Árbitro: ESCARTIN LARRAZ, MARIO",
453244,JUSLIBOL San Pantaleón,Juslibol,"Hierba Artificial Árbitro: FORTEA LAGUNA, VICTOR",
453254,PRADILLA DE EBRO Santa Ana,Pradilla de Ebro,"Hierba Natural Árbitro: ALCANTARA BUATAS, JORGE",
453261,EL OLIVAR-Campo 1,El Olivar,"Hierba Artificial Árbitro: HIDALGO SANDINO, SANTIAGO",
478801,JOAQUIN GONZALEZ-1,Madrid,"Hierba Artificial Árbitro: CASAUCAU POSADAS, JUAN",
478807,CALATAYUD Jaime Navarro,Calatayud,"Hierba Natural Árbitro: TAME SAMANIEGO, PABLO",
529681,EL RABAL (antiguo Vadorrey)-C.M.F.,Zaragoza,"Hierba Artificial Árbitro: FERRER COLLADO, DAVID",
